"lakeid","lakename","year4","daynum","month","sampledate","depth_id","depth","comments","nutrient","concentration"
"L","Paul Lake",1992,183,7,1992-07-01,6,5.35,"","tn_ug",515.86
"L","Paul Lake",1992,183,7,1992-07-01,7,8,"","tn_ug",1263.67
"R","Peter Lake",1992,183,7,1992-07-01,1,0,"","tn_ug",469.42
"R","Peter Lake",1992,183,7,1992-07-01,2,0.9,"","tn_ug",432.45
"R","Peter Lake",1992,183,7,1992-07-01,3,1.9,"","tn_ug",375.01
"R","Peter Lake",1992,183,7,1992-07-01,4,3.6,"","tn_ug",313.09
"R","Peter Lake",1992,183,7,1992-07-01,5,5.1,"","tn_ug",218.82
"R","Peter Lake",1992,183,7,1992-07-01,6,7.1,"","tn_ug",205.94
"R","Peter Lake",1992,183,7,1992-07-01,7,12,"","tn_ug",530.06
"L","Paul Lake",1992,190,7,1992-07-08,1,0,"","tn_ug",191.37
"L","Paul Lake",1992,190,7,1992-07-08,2,0.78,"","tn_ug",295.63
"L","Paul Lake",1992,190,7,1992-07-08,3,1.54,"","tn_ug",356.55
"L","Paul Lake",1992,190,7,1992-07-08,4,2.41,"","tn_ug",424.41
"L","Paul Lake",1992,190,7,1992-07-08,5,3.3,"","tn_ug",397.5
"L","Paul Lake",1992,190,7,1992-07-08,6,5.45,"","tn_ug",296.14
"L","Paul Lake",1992,190,7,1992-07-08,7,8,"","tn_ug",1324
"R","Peter Lake",1992,190,7,1992-07-08,1,0,"","tn_ug",329.07
"R","Peter Lake",1992,190,7,1992-07-08,2,0.7,"","tn_ug",407.61
"R","Peter Lake",1992,190,7,1992-07-08,3,1.4,"","tn_ug",468.31
"R","Peter Lake",1992,190,7,1992-07-08,4,2.9,"","tn_ug",317.59
"R","Peter Lake",1992,190,7,1992-07-08,5,4,"","tn_ug",236.39
"R","Peter Lake",1992,190,7,1992-07-08,6,6.4,"","tn_ug",154.27
"R","Peter Lake",1992,190,7,1992-07-08,7,12,"","tn_ug",593.96
"L","Paul Lake",1992,197,7,1992-07-15,1,0,"","tn_ug",335.59
"L","Paul Lake",1992,197,7,1992-07-15,2,0.85,"","tn_ug",568.78
"L","Paul Lake",1992,197,7,1992-07-15,3,1.6,"","tn_ug",482.72
"L","Paul Lake",1992,197,7,1992-07-15,4,2.6,"","tn_ug",431.18
"L","Paul Lake",1992,197,7,1992-07-15,5,3.4,"","tn_ug",355.41
"L","Paul Lake",1992,197,7,1992-07-15,6,5.4,"","tn_ug",638.82
"L","Paul Lake",1992,197,7,1992-07-15,7,8,"","tn_ug",1455.62
"R","Peter Lake",1992,197,7,1992-07-15,1,0,"","tn_ug",131.83
"R","Peter Lake",1992,197,7,1992-07-15,2,0.85,"","tn_ug",299.95
"R","Peter Lake",1992,197,7,1992-07-15,3,1.6,"","tn_ug",482.91
